"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"The Warning (2015)"," Horror","1-Mar-15","USA",,4.7,"91 min","Directed by Dirk Hagen. With Summer Moore, Jeff Allen, Christina Pascucci, Tiffany Joy Williams. Determined to get ahead in the competitive world of TV journalism, a woman investigates a local legend of people vanishing at the hands of a satanic cult but finds that she herself becomes the hunted.","Summer Moore|Jeff Allen|Christina Pascucci|Tiffany Joy Williams|Karl Brevik|Sonja Cimone|Aeon Cruz|Jamie Demeter|Lyle DeRose|Mary Ann Hogan|Bob Hurst|Ashley M. Kalfas|Grant Benjamin Leibowitz|Stefanie Smith|Pleasant Wayne","English","Colorado Springs, Colorado, USA",
"Husin, Mon & Jin Pakai Toncit (2013)"," Comedy| Horror","7-Feb-13","Malaysia",,5.7,"95 min","Directed by Mamat Khalid. With Awie, Azwan Annuar, Zafira Aqilla, Ezlynn. Husin comeback to his hometown, Kg. Pisang after bankrupted in Singapore. In Kg. Pisang, he meets his ex-lover Mon who looks strange like she try to hiding something from him. Then, a mysterious man Dr. Shamsuddin come to his village in order to help the villagers. What's really happen? All of this strange event have something to do with Kg. Pisang's history 100 years ago.","Awie|Azwan Annuar|Zafira Aqilla|Ezlynn|Nazari Ibrahim|Rashidi Ishak|Zami Ismail|Shahrul Izuan|Man Kadir|Adam Khalid|Arab Khalid|Abdul Manaf|Nuri|Dewa Sapri|Adi Shamsul","Malay",,
"OMG... We're in a Horror Movie (2016)"," Comedy| Horror","9-Dec-16","Germany",,4.1,"107 min","Directed by Ajala Bandele. With Ajala Bandele, Jenny Curtis, Liz Fenning, Christopher Hampton. Six friends having a weekly board game night are interrupted by a booming movie trailer voice from the sky. Inexplicably, they find themselves trapped in a Horror Movie. Who amongst them will turn into a homicidal killer? Who will be the sole survivor? And who will be the first to die in the shower? Struggling to break free from the stereotypes that would see them dead, each of the friends try to...","Ajala Bandele|Jenny Curtis|Liz Fenning|Christopher Hampton|Nils Jansson|Greg Loebell|Sharon Mae|Shanna Malcolm|Brendan McGowan|Chynna Skye|Sam Szabo|Jennifer van Heeckeren|Brittany Anne Woodford","English",,
"The Crypt (2014)"," Horror","3-Dec-14","France",,3.8,,"Directed by Mark Murphy. With Mark Harris, Natalie Stone, Peter Woodward, Nicola Posener. The Church sends in a team to investigate the tragic deaths of a young group found in the crypt of a Convent.","Mark Harris|Natalie Stone|Peter Woodward|Nicola Posener|Charley Mcdougall|Tom Leeper|Lucy Drive|Sabrina Bussandri|Jan Chappell|Peter Moller|Sophie Lovell Anderson|Chloe Partridge|Adrian Bouchet|Najia Ansari|Eva Smite","English",,
"Mahalai Tiang Kuen (2016)"," Comedy| Horror","28-Jul-16","Thailand",,5.8,,"Directed by Piyabutr Athisuk, Kritsada Kaniwichaphon, Kanin Kulsumitrawong. With Rasri Balenciaga, Maythinee Booranasiri, Bawriboon Chanreuang, Toni Rakkaen.","Rasri Balenciaga|Maythinee Booranasiri|Bawriboon Chanreuang|Toni Rakkaen","Thai",,
"Into the Outbreak (2017)"," Horror| Sci-Fi",2017,"USA",,,"95 min","Directed by Larry Rosen. With Caroline Heinle, Janelle Engle, Meena Amani, Larry Rosen. Macy and John are nearing the end of their relationship. Mandy and Steve just had a one night stand. Then an infectious outbreak starts turning people into cannibals. Now each of these survivors must deal with their issues as they attempt to survive the outbreak. Low on food, no law enforcement, infected cannibals eating people in the streets, fear grows of what is outside and what might come ...","Caroline Heinle|Janelle Engle|Meena Amani|Larry Rosen|Ed Bergtold|Deborah Twiss|Lloyd Kaufman|Nick Adamson|Dannah Basgall|Gianna-Leigh Bastar|Scott Churchson|Kasey Connolly|Chris J. Cullen|Nick Denning|Brandy Gardener","English",,
"Where the Skin Lies (2017)"," Horror| Thriller","26-Aug-17","UK",,4.8,"91 min","Directed by Michael Boucherie. With Tristan Beint, Amelia Bennett, Simon Rivers, Louise Williams. Six people bound together by a traumatic experience decide to round off a year of group therapy in style. They join each other once more, traveling up to the Scottish Lowlands for a reunion weekend in a 1970s holiday let. Soon a number of mysterious and horrifying events start to expose the cracks in their relationships, and one by one they discover that trust runs but skin-deep. A night of ...","Tristan Beint|Amelia Bennett|Simon Rivers|Louise Williams|Georgia Winters|Nathan Wright|Clive Russell|Sara Jordan|Nicholas Tudor","English","Scotland, UK",
"Altergeist (2014)"," Horror| Sci-Fi| Thriller","7-Nov-14","USA","R",3.9,"91 min","Directed by Tedi Sarafian. With Kristina Anapau, Mark Hapka, David Weidoff, Linsey Godfrey. King's Ransom Winery is one of the most haunted places in America, with a long history of bizarre suicides. Six ghost hunters have been given the rare opportunity to conduct a paranormal investigation. What they discover terrifies them.","Kristina Anapau|Mark Hapka|David Weidoff|Linsey Godfrey|Brendan Fletcher|Alexis Cruz|Sarah Oh|Olivia Stuck|Richard Sarafian Jr.|Jessica Spotts|Ed Corbin|Brooke Bonelli|Michele Boyd|Ariel Feruglio|Sarah Hass","English","Sonoma, California, USA",
"Hunting the Legend (2014)"," Horror| Mystery| Thriller","8-Jul-14","Canada","NOT RATED",3.5,"95 min","Directed by Justin Steeley. With Christopher Copeland, Hannah Wallace, Jeff Causey, Justin Steeley. In 2008, a deer hunter was taken by something in the Alabama woods. Only his rifle, blood and a 16"" footprint were left behind... Five years later, his son seeks revenge.","Christopher Copeland|Hannah Wallace|Jeff Causey|Justin Steeley|Alex Ballew|Stanley T. Copeland|Jonathan Cordes|Jason Ewing|Jason Harvey|Linda Hollyfield|Emma Irvin|Becky Stewart Jones|Geoff Jones|Brittany Levan|Angel Hamilton Little","English","Wilsonville, Alabama, USA","$100,000 "
"Ghost Coins (2014)"," Horror","24-Dec-14","Thailand",,5.9,"93 min","Directed by Tiwa Moeithaisong. With Hataichat Eurkittiroj, Chinnapat Kitichaivaranggoon, Yayaying Rhatha Phongam, Timethai Plangsilp.","Hataichat Eurkittiroj|Chinnapat Kitichaivaranggoon|Yayaying Rhatha Phongam|Timethai Plangsilp|Namo Tongkumnerd|Thanayong Wongtrakul","Thai",,
"House of Bad (2013)"," Horror| Thriller","18-May-13","USA","NOT RATED",3.1,"96 min","Directed by Jim Towns. With Heather L. Tyler, Sadie Katz, Cheryl Bonty, Lisamarie Costabile. Three sisters on the run with a suitcase full of stolen heroin hide out in their childhood home, which is haunted by the ghosts of their parents.","Heather L. Tyler|Sadie Katz|Cheryl Bonty|Lisamarie Costabile|Clint Jung|Julia Putnam|Jim Falkenstein|Madison Wenn|Orenda Velvet Wurth","English","Los Angeles, California, USA","$150,000 "
"Le scaphandrier (2015)"," Adventure| Horror| Sci-Fi| Thriller","20-Feb-15","Canada",,4.5,"78 min","Directed by Alain Vézina. With Édith Côté-Demers, Alexandre Landry, Raymond Bouchard, Éric Gagné. A ship was found drifting with its crew massacred on the coast of the Gaspé ... It's consternation! In the process, an ambitious journalist, helped a young museum professional archivist rather shy and sedentary, discovers that a collector of maritime objects with dubious intentions may be linked to this terrible story. Then begins a race against time to find out who is this mysterious diver ...","Édith Côté-Demers|Alexandre Landry|Raymond Bouchard|Éric Gagné|Béatrice Picard|Luc Pilon|Charles Dauphinais|Jean-Guy Bouchard|Widemir Normil|Pierre Mailloux|Pascale Létourneau|Dominique Laniel|Simon Therrien|Sylvio Archambault|Jean-Philippe Debien","French","Rimouski, Québec, Canada","  CAD 1,000,000  "
"The Cook (2013)"," Horror","1-Apr-13","USA","NOT RATED",4.2,"88 min","Directed by Joshua Miller. With Jeremy Castaldo, Amber Tranum, Ashley Elizabeth Pierce, Wade Blevins. A young TV actor holds a memorial party for his deceased sister. It is held in an abandoned park where, a murderous, shamanistic drug-lord lives. The actor and his friends are hunted by this seemingly supernatural killer.","Jeremy Castaldo|Amber Tranum|Ashley Elizabeth Pierce|Wade Blevins|Josh Emanuel|Frank Barrett|Kitt Bender|Libby Chancellor|Brad Claggett|Gabriel Conduff|Cyrus Crane|Corey Douglas|Mathew Fasano|Jamie Lee Fife|Kristina Flinn","English","Oklahoma, USA","$30,000 "
"Last Humans (2017)"," Action| Horror","16-Jun-17","UK",,,,"Directed by Nathan Hughes. With Michael .C. Angell, Amy Warren, Aaron-Jason Green, Jamina Wittke. it's been 7 months since the outbreak, Joel and Jade now must survive the new cruel world. But it becomes more dangerous for them when they discover that they are been hunted, now they must fight for their survival.","Michael .C. Angell|Amy Warren|Aaron-Jason Green|Jamina Wittke|Andrew Garner|Nathan Hughes|John Mccormack|Megan Ralph|Anton Arenko|Gemma Kershaw|Antony Makinson|Illya Khmelkovskyy|Tom Davidson|Anthony Hamer","English","Stockport, Cheshire, England, UK",
"Cruel Will (2014)"," Horror| Thriller","3-Jan-14","USA","NOT RATED",3.6,,"Directed by Arthur Romeo. With Arron Kinser, Marissa Pistone, Spencer Garrett, Harry Lennix. Tragedy strikes married couple Paul and Lily, when Lily's father dies. Lily has her father cremated, brings the urn home and now Paul has to come to terms with the death of his father-in-law whom he had despised. The situation gets a bit frayed when the lid to the urn mysteriously disappears, and Paul begins to experience happenings no one else is aware of.","Arron Kinser|Marissa Pistone|Spencer Garrett|Harry Lennix|Doug Jones|Brenan Baird|Tim Banks|Riley Bodenstab|Yonash Breneman|Sal Catalano|Emily Chang|Jesse Chevy|J.J. Dalton|Barbara Goodson|Mandy Henderson","English","Los Angeles, California, USA","$80,000 "
"Naciye (2015)"," Drama| Horror| Mystery| Thriller","11-Mar-16","Turkey",,5.9,"81 min","Directed by Lutfu Emre Cicek. With Derya Alabora, Esin Harvey, Görkem Mertsöz, Ilgin Çakir. On their first night at a new, secluded house, a couple (Esin Harvey, Gorkem Mertsoz) encounter the mysterious woman (Derya Alabora - A Most Wanted Man, When We Leave) who claims it to be her home.","Derya Alabora|Esin Harvey|Görkem Mertsöz|Ilgin Çakir","Turkish",,
"Forest of the Damned 2 (2017)"," Horror| Thriller",2017,"UK",,,"79 min","Directed by Ernest Mari. With Alex Humes, Rachel Freeman, Sebastian Knapp, Lewis Clements. When four couples travel to a remote island for a swingers weekend Lucy's biggest fear was that it would ruin her marriage, she didn't realize that it could cost her her life too.","Alex Humes|Rachel Freeman|Sebastian Knapp|Lewis Clements|Sally Janman|Marysia Kay|Eleanor James|Victoria Broom|Jennifer-Ashley Kearns|Jatin Mehta|Ryan Spencer Wilson|Angela Peters|Cleo Mason|Tim Taylor|Dani Thompson","English",,
"Acid Head: The Buzzard Nuts County Slaughter (2011)"," Action| Crime| Horror| Music| Thriller","1-Aug-12","Canada",,2.4,"145 min","Directed by Tony Watt. With Vivita, Tony Watt, Lewis Mercer, Lana Tailor. Acid scarred teenager : Pheromone Labonza (aka Acid Head) is a vengeful, bloodsucking cannibal goth-girl killer that slashes her way though rural Buzzard Nuts County, N.Y.'s roadside and Vom College sorority House (which also serves as an underground whorehouse, built on the grave-site of a top-hatted poltergeist...a nefarious, evil force), then disappears. One year later, guess who's back to the...","Vivita|Tony Watt|Lewis Mercer|Lana Tailor|Deanna Prall|Rooster|Ron Basch|James Taggart|Elvin Domenic|Kim Sønderholm|Eric Scealf|Victoria Iris Stack|Paul Nicholls|Jane Longeye|Adam Schickedanz","English",,"  CAD 50,000  "
"Qaqqat Alanngui (2011)"," Horror| Thriller","13-Oct-12","Denmark",,6.9,"127 min","Directed by Malik Kleist. With Ujarneq Fleischer, Eqaluk Høegh, Jeff Joensen, Aviaja Hegelund Johansen. A group of young friends decide to go on a graduation trip for the weekend to a family owned cabin in the isolated mountains of Greenland. Once there, trouble manifests when they discover they aren't alone, and there could actually be some truth behind a local urban legend.","Ujarneq Fleischer|Eqaluk Høegh|Jeff Joensen|Aviaja Hegelund Johansen|Ane Sofie Kruse|Angunnguaq Larsen|Ulla Larsen Lennert|Angayo Lennert-Sandgreen|Mike Thomsen","Greenlandic","Nuuk, Greenland","  DKK 2,100,000  "
"Cut/Print (2012)"," Horror| Thriller","2-Nov-12","USA","UNRATED",5.1,"92 min","Directed by Nathaniel Nose. With Ele Bardha, Angela Chetcuti, Chelsey Fatula, Ken Foree. A group of ambitious filmmakers set out to create the world's first reality horror movie. Their plan was simple; they'd offer an active serial killer complete anonymity and a worldwide platform from which to display his work in exchange for genuine footage of his grisly crimes. What ensues is a hellish game of cat and mouse as a cryptic filmmaker, known only as The Maestro, comes out from hiding ...","Ele Bardha|Angela Chetcuti|Chelsey Fatula|Ken Foree|Tamara Frapasella|Randall Godwin|Gavin Heffernan|Janice Hewitt|Erik F. Hill|Joan Jack|Dave Marchant|Christian Mathis|Craig Meier|Michael Mili|Bryce Molacek","English",,"$1,000,000 "
"Theatre of the Deranged (2012)"," Comedy| Horror| Thriller","20-Jun-12","USA",,4.3,"66 min","Directed by James Cullen Bressack, Creep Creepersin, Brian Dorton. With Cory Jacob, Kirsty Hill, Shawn C. Phillips, Veronica Ricci. Andy the Arsonist welcomes everyone to his theater of derange for a wild night of thrills, chills and spills. Andy kick's off the night by hosting five short horror films from some of the best Horror Writer/Directors in the indie scene.","Cory Jacob|Kirsty Hill|Shawn C. Phillips|Veronica Ricci|M. Kelley|James Cullen Bressack|Brian Dorton|Doug Waugh|Brian Redban|Jon Bloch|Douglas Conner|Kevin E. Scott|Stephen Phillips|Ethan Phillips|Kim Phillips","English",,
"H Project (2013)"," Horror","31-Oct-13","Thailand",,4.8,"118 min","Directed by Piyapan Choopetch. With Apinya Sakuljaroensuk, Pirat Nipitpaisalkul, Alexander Rendell, Sushar Manaying. Hashima Island was once the most densely populated island but has been a ghost island since 1974. A group of teenagers will now step foot on this island to capture paranormal encounters on tape. On the island, the teenagers are thrilled as they explore. However, their excitement is short-lived. They realize something ominous is creeping up on them and the hair-raising truth unveils through the ...","Apinya Sakuljaroensuk|Pirat Nipitpaisalkul|Alexander Rendell|Sushar Manaying|Mek Mekwattana|Shô Nishino","Thai","Hashima Island, Nagasaki Prefecture, Japan",
"A Devil's Wind (2017)"," Horror","25-Jul-17","USA","UNRATED",,,"Directed by Bill Zebub. With Erica Leigh Boseski, Kayla Browne, Brielle Edborg, Mel Heflin. A bizarre weather phenomenon destroys parts of Clifton, New Jersey. Residents are advised to flee, but a few remain to test Fate. The storm is a symbol for change. Those who face the unknown can get swept up in the frightening current, but those who let Life make changes for them (accepting changes passively) become destroyed. This is beyond horror or science fiction. It is a movie that was ...","Erica Leigh Boseski|Kayla Browne|Brielle Edborg|Mel Heflin|Vania Mendez","English",,"$5,000 "
"Bloody Drama (2017)"," Horror","30-Oct-17","USA",,,,"Directed by Colin Bressler. With Katusha Robert, Billionna Olivia Reyes, Mike Ettnie, Scotty Walker. Bloody drama follows the story of a pool party involving five former college sororiety sisters attempting one last weekend blowout. While trying hard to grab onto their fun youth filled past they are faced with what is their troubled divisive present. As they water down their issues with booze and drugs unbeknownst to them an evil lurks around them with murderous convictions. How much carnage ...","Katusha Robert|Billionna Olivia Reyes|Cristina Cruz Rodríguez|Makayla Keck|Mike Ettnie|David Carbajal|Sky Hawkes|Scotty Walker|Ivy Lamb","English","San Antonio, Texas, USA","$2,000 "
"Blood Rush (2012)"," Comedy| Drama| Horror","1-Aug-12","USA","TV-MA",4.2,"92 min","Directed by Evan Marlowe. With Kerry Finlayson, Don Donnelley, Christy Lee Hughes, Helen Soraya. When a small town is overcome with a blood lust, the local Witch Doctor is thought to be the source. What they don't know is that he has a different agenda.","Kerry Finlayson|Don Donnelley|Christy Lee Hughes|Helen Soraya|Samantha Michelle|Emrhys Cooper|John Wuchte|Myles Cranford|Kaden Graves|J.P. Giuliotti|Danielle Reierson|Charles Iacuzzo|Granison Crawford|Amanda Barton|David Alen","English","Los Angeles, California, USA",
"Absence (2013)"," Horror| Sci-Fi| Thriller","5-Jul-13","USA","NOT RATED",4.1,"84 min","Directed by Jimmy Loweree. With Erin Way, Eric Matheny, Ryan Smale, Stephanie Scholz. After her unborn baby is snatched from her womb, Liz and her husband take a vacation to help them overcome the horrifying and mysterious loss. Her brother documents the trip as Liz continues to be terrorized by an unknown force.","Erin Way|Eric Matheny|Ryan Smale|Stephanie Scholz|Tamra Meskimen|David Paladino|Lee Burns|Linda Paice|Michael Angelo Covino|Don Moss","English",,
"The Thingy: Confessions of a Teenage Placenta (2013)"," Comedy| Drama| Horror","25-Jun-13","Belgium",,5.6,"84 min","Directed by Joël Rabijns, Yves Sondermeier. With Pascal Maetens, Karel Vingerhoets, Celine Verbeeck, Jérémie Petrus. The heartbreaking story of a living placenta that is raised as a human, a christian, a soldier.","Pascal Maetens|Karel Vingerhoets|Celine Verbeeck|Jérémie Petrus|Andreas Perschewski|Sofie Hoflack|Koen Blauwblomme|Korneel Cornelis|Gert Jochems|Chris Bale|Renato Brabants|Miro Brooks|Wim A. Christiaens|Eline Danasovsky|Ben De Raes","English",,
"Coven (2017)"," Horror",2017,"USA",,,,"Directed by Margaret Malandruccolo. With Terri Ivens, Sofya Skya, Jocelyn Saenz, Lizze Gordon.","Terri Ivens|Sofya Skya|Jocelyn Saenz|Lizze Gordon|Jennifer Cipolla|Adam Horner|Jessica Louise Long|Miranda O'Hare|Sara Stretton|Margot Major|Russell Herrera Jr.|Aaron James|Jarod Martin|Sophie Kiani","English","Tulsa, Oklahoma, USA",
"Dark Entry (2016)"," Horror","20-Apr-16","USA","NOT RATED",,"87 min","Directed by Thomas David Dean. With Thomas David Dean, Jessica Anne Barone. Regardless of the real curse of Dudleytown, Connecticut, there is an energy that goes beyond human understanding. Ancient religions were based on the earth and it's energies. Most ancient religions believed that the tops of mountains were a doorway (portal) to another world because they were closer to the heavens than anywhere else.","Thomas David Dean|Jessica Anne Barone","English","Litchfield, Connecticut, USA","$50,000 "
"Bring Back the Dead (2015)"," Horror","8-Jan-15","Singapore",,6.4,"86 min","Directed by Thean-jeen Lee. With Jesseca Liu, Ling Ling Liu, Wei-wen Chiang, Shawn Tan. When her seven-year-old son dies in a tragic road accident, a grieving mother (Jesseca Liu), with the help of her former caregiver Mdm Seetoh (Liu Ling Ling), resorts to supernatural forces to bring back his soul so he can be 'by her side' at home. However, after several strange and even deadly occurences in the house, she begins to suspect that there is something amiss with the soul she has ...","Jesseca Liu|Ling Ling Liu|Wei-wen Chiang|Shawn Tan|Timothy Law|XueTing Tjoa|Lizzie.V.|Alan Yeo","Mandarin",,"  SGD 1,100,000  "
"Fear Is Coming (2016)"," Horror| Thriller","25-Mar-16","China",,4.4,,"Directed by Zhang Yang. With Mengmeng Li, Jiao Ren, Mik Thongraya, Sunny Xie. A haunted cinema is a popular attraction for visiting tourists. But supernatural things happen at the old Cinema and soon visiting tourists start to die mysterious deaths one by one. Could this be associated with the haunts of the cinema?","Mengmeng Li|Jiao Ren|Mik Thongraya|Sunny Xie|Yang Xing|Xihan Xu|Yoyo","Chinese",,
"The Summer of Massacre (2012)"," Horror| Thriller","24-Jan-12","USA",,2.6,,"Directed by Joe Castro. With Brinke Stevens, Nick Principe, Cleve Hall, Lisa M. Garcia. This anthology slasher film presents eight killers in five gory tales.","Brinke Stevens|Nick Principe|Cleve Hall|Lisa M. Garcia|Lauren Boehm|Scott Barrows|Felipe Winslett|Sean Abley|Daniel Aldema|Ted Alderman|Nick Rey Angelus|Ken Ashe|Rod Barroso|Tchia Casselle|Joe Castro","English",,"$750,000 "
"Ang pagsanib kay Leah Dela Cruz (2017)"," Drama| Horror| Mystery| Thriller","28-Jun-17","Philippines",,5.3,"97 min","Directed by Katski Flores. With Sarah Lahbati, Shy Carlos, Julian Trono, Mailes Kanapi. A lady cop who moves into a small town gets drawn to a case that involves a girl that's possessed by an evil spirit.","Sarah Lahbati|Shy Carlos|Julian Trono|Mailes Kanapi|Michael Rivero|Olive Nieto|Micah Muñoz|Aireen Almonte|Jim Paredes","Filipino|Tagalog",,
"The Wolves of Savin Hill (2017)"," Crime| Drama| Horror","1-Sep-17","USA",,7.4,"100 min","Directed by John Beaton Hill. With David Cooley, Brian Scannell, Kurt Fuller, Jack McGee. Childhood friends from Boston drift apart following a shocking discovery deep in the woods of Savin Hill. Years later a tragic murder brings them together again. But for one man, it's no mistake. A trap has been set... After serving time for a crime he didn't commit, TOM GREYS is released from prison with a score to settle: he is dead-set on tracking down the man who set him up... his childhood ...","David Cooley|Brian Scannell|Kurt Fuller|Jack McGee|Michael Massee|Paul Carafotes|Tim DeZarn|Tonya Cornelisse|Megan Davis|Suzanne Willard|Jordan Van Vranken|Marco Verdier|Jason Oliver|Tiprin Mandalay|Nicole Haddad","English","Los Angeles, California, USA",
"She Wolf (2013)"," Action| Horror| Thriller","20-Sep-13","USA",,5.9,"92 min","Directed by Tamae Garateguy. With Mónica Lairana, Guadalupe Docampo, Luján Ariza, Edgardo Castro. She Wolf is a serial killer who traps her men in the subway in Buenos Aires. She seduces, has sex with them and kills them. But one of those men is a police officer who is investigating her crimes. Running away from him she meets a dealer with whom she stars a relationship. This romance unravels a war between her three personalities: the monster woman, the sensual woman and the human woman who ...","Mónica Lairana|Guadalupe Docampo|Luján Ariza|Edgardo Castro|Nicolás Gold|Guillermo Pfening|Germán Da Silva|César Bordón|Hernán Bustos|Miguel Forza de Paul|Javier De Pietro|José Luciano González|Diego Rinaldi","Spanish",,
"The Second Coming (2014)"," Fantasy| Horror| Thriller","13-Mar-14","Singapore",,4.8,"88 min","Directed by Tin Chi Ng, Herman Yau. With Yuet Chin, Joey Leong, Donald Li, Yat-Long Li. All the CHEN family want is a quiet life but as daughter Lucy's behavior changes from strange to violent, they are forced to confront dark secrets they have hidden for years. One by one, their desperate poverty, the mother's rape and the father's revenge by murder return to haunt them...until a searing TRUTH no one knew is revealed. Will this truth give them a second chance to right the wrongs in...","Yuet Chin|Joey Leong|Donald Li|Yat-Long Li|Maggie Siu|Cindy Sin Yee Wong|Kenny Wong|Tak-Bun Wong","Cantonese|Mandarin",,
"Necronos (2010)"," Horror","18-Mar-14","USA","NOT RATED",3.8,"127 min","Directed by Marc Rohnstock. With Thomas Sender, Manoush, Timo Fuchs, Mario Zimmerschitt. Necronos, one of the mightiest minions of the devil himself has come to earth to create an invincible army of the undead under leadership of barbaric demons, called Berzerkers. To achieve his goal Necronos needs numerous often very macabre and difficult to come by ingredients. So Satan sends him two assistants to achieve his goal - Goran, a Blood Demon and footman loyal to Necronos as well as The...","Thomas Sender|Manoush|Timo Fuchs|Mario Zimmerschitt|Alexander Andreszka|Tanja Karius|Saskia Neumüller|Mike Weishaupt|Denissa Schmidt|Toni Reckert|Patrick Bender|Luna B.|Bloody Marlen|Ann-Christin Rosenkranz|Andrea Schmitt","German","Bingen, Rhineland-Palatinate, Germany",
"Death Do Us Apart (2014)"," Comedy| Horror","1-Jul-14","UK",,6.5,,"Directed by Shaub Abdul Miah. With Maxine Barnham, Jane Foufas, Joseph Gale, Jema Gilsenan. It's a right of passage for a young man called Jake who has never been out in his life and his friends decide to take him on a trip of a lifetime.","Maxine Barnham|Jane Foufas|Joseph Gale|Jema Gilsenan|Wayne Gordon|Andy Mcleod|Josh Myers|Martin Myers|Sagar Radia|David Roden|Georgina Stupar|Lucinda Rhodes Thakrar|Simon Warner","English","Soho, London, England, UK",
"Another Kind (2013)"," Horror| Thriller","23-Nov-13","USA","NOT RATED",5.2,"76 min","Directed by Jonathan Blitstein. With Jamie Law, Nate Miller, Laura Ramadei, Patrick Woodall. A group of unprepared weekend hikers go missing while snowshoeing in the Catskill Mountains.","Jamie Law|Nate Miller|Laura Ramadei|Patrick Woodall","English","Brooklyn, New York City, New York, USA","$120,000 "
"Still (2016)"," Comedy| Horror","26-Oct-16","USA",,8.4,,"Directed by Carl Timms. With Joe Capella, Jonathan Hickman, Lisa Barnett, Sharon Elizabeth Greenwood. Still is an award-winning dark zombie comedy about a living statue entertainer caught up in the middle of a zombie outbreak. He finds himself frozen in fear whilst everyone around him flees or dies at the hands of the attacking zombie horde. Left alone by the unknowing zombies in an large open square surrounded on all sides he has to rely on his amazing ability to stand very still to try work out...","Joe Capella|Jonathan Hickman|Lisa Barnett|Sharon Elizabeth Greenwood|Rob Hall|Julie Wallis","English","Golden Square, Birmingham, England, UK",
"P.O.V. - A Cursed Film (2012)"," Horror","18-Feb-12","Japan",,5.8,"92 min","Directed by Norio Tsuruta. With Yasuyuki Hirano, Haruna Kawaguchi, Takashi Kodama, Yasuto Kosuda. As part of a show, Haruna and Mirai watch a ghost video submitted by a viewer, only to experience strange occurrences that later draw the crew to Haruna's school; the location of the taken video.","Yasuyuki Hirano|Haruna Kawaguchi|Takashi Kodama|Yasuto Kosuda|Yûki Mashita|Mayu Miura|Mirai Shida|Ami Shimazaki","Japanese",,
"Mon Son Phee (2015)"," Comedy| Horror","29-Oct-15","Thailand",,5.8,,"Directed by Achira Nokthet. With Nutcha Jeka, Sean Jindachot, Timethai Plangsilp, Pongsatorn Sripinta.","Nutcha Jeka|Sean Jindachot|Timethai Plangsilp|Pongsatorn Sripinta|Theeradanai Suwannahom|Puvadol Vechwongsa","Thai",,
"Die, My Dear (2017)"," Drama| Horror| Thriller",2017,"USA",,7.4,"90 min","Directed by Matthew Kalamane. With Thomas Burks, Deirdre McCauley, Jeannie Ferrara, Bobe Kirsche. Victor & Miranda try and resolve their failed marriage only after they independently attempt to kill each other on the same night.","Thomas Burks|Deirdre McCauley|Jeannie Ferrara|Bobe Kirsche|Michelle Vallentyne|Penelope Morgan","English","Pacific Grove, California, USA","$2,500 "
"Red Sword (2012)"," Horror","3-Mar-12","Japan",,6.8,"76 min","Directed by Naoyuki Tomomatsu. With Asami, Momoka Nishina, Tomoaki Sandan, Manzô Shinra. Long, long ago, there was a wolf-man tribe who had no women. All through history these desperate wolf men have attacked and raped female humans as a way to continue their species. But the wolf men have a terrible legend where every hundred years, on the night of a red moon, a little girl is born and she is destined to destroy the wolf-man tribe. The lecherous wolf men are so afraid of females ...","Asami|Momoka Nishina|Tomoaki Sandan|Manzô Shinra|Natsuki Yonemoto","Japanese",,
"Dead Again (2017)"," Horror","11-Aug-17","India",,,,"Directed by Dave Silberman. With Bong-gi Baek, Seung-Ri Ha, Da-Yeong Ju, Dong-jun Kim.","Bong-gi Baek|Seung-Ri Ha|Da-Yeong Ju|Dong-jun Kim|Seong Yoon Kim|Han-wi Lee|Min-woo Lee","Korean","Gwangmyeong, South Korea",
"Tragic Theater (2015)"," Horror","8-Jan-15","Philippines",,3.2,"95 min","Directed by Tikoy Aguiluz. With Christopher De Leon, John Estrada, Andi Eigenmann, Jovic Monsod. A team of exorcists are sent into an old theater that is rumored to have been the site of a great tragedy during its construction.","Christopher De Leon|John Estrada|Andi Eigenmann|Jovic Monsod|Arvic Rivero|Roxanne Barcelo|Josh Padilla|Gab de Leon|Carissa Quintas|Janna Roque|Chloe Dauden|Clint Bondad|Sara Polverini|Sheng Belmonte|Jourdanne Castillo","Filipino|Tagalog",,
"Dead Sunrise (2016)"," Adventure| Horror| Sci-Fi| Thriller","13-Sep-16","Australia",,5.7,"120 min","Directed by Michal Imielski. With Cloé Fournier, Barry French, Corinne Furlong, Peter Maple. Dead Sunrise is about a group of friends that find a research lab in the woods only to unleash little flesh eating children onto the world.","Cloé Fournier|Barry French|Corinne Furlong|Peter Maple|Roman Mellis|Georgina Neville|Brooke Ryan|Damian Sommerlad","English",,"  AUD 30,000  "
"Greatful Dead (2013)"," Horror","26-Jan-15","UK",,6.5,"97 min","Directed by Eiji Uchida. With Aira, Itsuji Itao, Yoichiro Kawakami, Kkobbi Kim. Nami is a young woman with numerous hangups sprouting from a dysfunctional childhood. She inherits a small fortune that allows her to pursue various interests, many of which are abnormal.","Aira|Itsuji Itao|Yoichiro Kawakami|Kkobbi Kim|Hôka Kinoshita|Kenji Matsuda|Wakana Sakai|Takashi Sasano|Kumi Takiuchi|Taro Yabe","Japanese",,
