"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"Kubot: The Aswang Chronicles 2 (2014)"," Action| Comedy| Horror","22-Apr-15","Cambodia",,7.4,"105 min","Directed by Erik Matti. With Dingdong Dantes, Abra, Ku Aquino, Ramon Bautista. A family of bloodthirsty monsters descends on the city to take revenge on the man that caused the death of so many of their own.","Dingdong Dantes|Abra|Ku Aquino|Ramon Bautista|Isabelle Daza|Lotlot De Leon|Marco Ho|Joey Marquez|KC Montero|Elizabeth Oropesa|Jun Sabayton|Julie Anne San Jose|Jeron Teng","Filipino|Tagalog",,
"Crone Wood (2016)"," Horror| Thriller","30-Oct-16","Ireland",,7.5,"86 min","Directed by Mark Sheridan. With Elva Trill, Ed Murphy, Sarah Jane Seymour, Karen McCartney. A young couple who just met decides to go camping after a wonderful first encounter, a decision they will soon regret.","Elva Trill|Ed Murphy|Sarah Jane Seymour|Karen McCartney|Stephen Doring|Saoirse Doyle|Rowan Finken|Degnan Geraghty|Meg Healy|Geraldine McAlinden|Esther Woods","English","Crone Wood, Ireland",
"Survival Instinct (2016)"," Action| Horror| Thriller","13-Jun-16","UK",,3.2,"75 min","Directed by Steve Lawson. With Andrew Coughlan, Helen Crevel, Isabella Nash, Glenn Salvage. Taking its cue from classic survival-thrillers such as 'Duel' and 'Deliverance', 'Survival Instinct' is a fast-paced edge-of-your seat thriller with a strong female lead and a plausible, morally-ambiguous villain.","Andrew Coughlan|Helen Crevel|Isabella Nash|Glenn Salvage|Sam Smith|Jay Sutherland","English",,
"Aadupuliyattam (2016)"," Horror","20-May-16","India",,4.2,"145 min","Directed by Kannan Thamarakkulam. With Jayaram, Ramya Krishnan, Om Puri, Akshara Kishor. King Udayapandyan ruled some provinces of Tamil Nadu, 600 years ago. He fell in love with a huntress named Mathangi (Ramya Krishnan), married her and built her a bungalow near the forest. When Udayapandyan is defeated in a war, he takes shelter at Mathangi's bungalow and she vows to take care of the king. She sacrifices her life before the deity Bhadrakali, to save the life of King Udayapandyan. ...","Jayaram|Ramya Krishnan|Om Puri|Akshara Kishor|Sheelu Abraham|Pradeep Kottayam|Valsala Menon|Veena Nair|Saju Navodaya|Ramesh Pisharody|Sampath Raj|Siddique|S.P. Sreekumar|Antony Thekkek","Malayalam|Malayalam|Hindi|Tamil|Telugu","Palani, Tamil Nadu, India",
"Big Bad Bugs (2012)"," Action| Adventure| Comedy| Horror| Sci-Fi| Thriller","29-Dec-12","Russia",,2.2,"95 min","Directed by Peter Paul Basler. With Jack Plotnick, Sarah Lieving, Ted Jonas, Camden Toy. After a convoy of American soldiers disappears, a special ops team is deployed to rescue them. They soon encounter an army of gigantic scorpions, spiders and snakes that have come to Earth from another dimension.","Jack Plotnick|Sarah Lieving|Ted Jonas|Camden Toy|Bo Kane|Devon Ogden|Randy Clark|Kris Wheeler|Steve Silverie|Tyler McGee|Andre Tenerelli|Michael Monks|Don Williams|Kenny Lombino|Carmen Thomas","English","Los Angeles, California, USA","$1,000,000 "
"White Raven (2015)"," Adventure| Drama| Horror| Thriller","23-May-17","Canada","NOT RATED",5.3,"94 min","Directed by Andrew Moxham. With Steve Bradley, Aaron Brooks, Cindy Busby, Missy Cross. Four men head into the remote woods on an annual camping trip. As one of them gradually loses his mind, the weekend of fun takes a turn for the worse and the other three must fight for their lives.","Steve Bradley|Aaron Brooks|Cindy Busby|Missy Cross|Andrew Dunbar|Catherine Michaud|Sarah Smyth|Shane Twerdun|Preston Vanderslice","English",,
"Videoclub (2013)"," Action| Horror| Romance","30-Jan-14","Chile",,4.9,,"Directed by Pablo Illanes. With Pedro Campos, Luciana Echeverría, Francisca Díaz, Samuel González. In 1992, a young man who works at a video store takes shelter in it (along with his friends and family) during a ""possible"" zombie invasion.","Pedro Campos|Luciana Echeverría|Francisca Díaz|Samuel González|Berta Lasala|Daniel Alcaíno|Ingrid Cruz|Eyal Meyer|Cristobal Tapia Montt|Marcelina Acevedo|Soledad Acevedo|Sebastián Layseca|Felipe Ríos|Carmen Gloria Bresky|Gonzalo Muñoz-Lerner","Spanish","Ñuñoa, Santiago, Chile",
"Sebastian (2011)"," Action| Horror| Mystery","14-Apr-12","USA",,4.9,"108 min","Directed by Gregori J. Martin. With Daeg Faerch, Meadow Williams, Betsy Rue, Greg Vaughan. Miranda Barnes (brilliantly played by Meadow Williams) is a tragic yet gallant figure. Stunning events rapidly awaken strength and spiritual awareness essential for her survival. Daeg Faerch gives an outstanding performance as Sebastian. Is he an angel sent from God or a psychopathic serial killer. Dee Wallace gives a captivating performance as Barbara Sample as she reveals veiled secrets as to ...","Daeg Faerch|Meadow Williams|Betsy Rue|Greg Vaughan|Dee Wallace|Meg Foster|Brody Hutzler|Joe Estevez|Caroline Williams|Kym Whitley|Andre Boyer|Michael Brainard|Kira Brannlund|Brock Cuchna|Vincent De Paul","English",,
"Safe Inside (2017)"," Horror","21-Jun-17","USA",,5,"91 min","Directed by Jason Paul Collum. With Christopher D. Harder, Brinke Stevens, Judith O'Dea, Darcey Vanderhoef. One hot summer night, JJ Tyler thinks he's spending the night alone in his suicidal mother's home. He's wrong.","Christopher D. Harder|Brinke Stevens|Judith O'Dea|Darcey Vanderhoef|Tina Ona Paukstelis|Karen Dilloo|Keith McLeod|Jerod Howard|Frank Anderson|Josh Greytak|Kyle McLeod|Doug Despin|Brian Vanderhoef|Sy Stevens|Alicia Smith","English","Racine, Wisconsin, USA",
"Predatory Moon (2017)"," Horror","1-Oct-17","USA",,,"90 min","Directed by Shiva Rodriguez. With Christopher Morrissey, Jonathan Foster, D. Duckie Rodriguez, Tracy Anderson. Kyle Reading is a zoologist who has been studying wild animal attacks across the country in hopes of finding ways to prevent them. When a young boy is allegedly killed by a bear in Florida, Kyle launches his own investigation. He quickly turns his attention to Dean Clout, the child's uncle, who somehow survived the vicious attack. Dean, infamous for being the town drunk, remembers very little ...","Christopher Morrissey|Jonathan Foster|D. Duckie Rodriguez|Tracy Anderson|Lowrie Fawley|Jeffrey Crisp|Mel Heflin|Kathleen O'Brien|Gregory Lee Cason|Mike Cornell|LeNelle Hartner-Stephens|Alexander Brousseau|Bob Glazier|Sally Drews|Skip Klavans","English","Ormond Beach, Florida, USA","$25,000 "
